"start_station_name","s_station_uid","avg_lat","avg_lng","instances"
"Clinton St & Roosevelt Rd",1861,"41.86711489929928","-87.64106846291564","6909"
"Clinton St & Tilden St",265,"41.87588114334526","-87.64078042154216","6903"
"Broadway & Granville Ave",406,"41.99476184700823","-87.66027937676886","6883"
"Ashland Ave & Wellington Ave",348,"41.93606627824334","-87.66981721943469","6840"
"Larrabee St & North Ave",1732,"41.9101970999357","-87.64349662289415","6830"
"Broadway & Thorndale Ave",407,"41.98974743428756","-87.66014073329238","6744"
"Ashland Ave & Chicago Ave",336,"41.89595989366894","-87.6677309882774","6691"
"Clarendon Ave & Leland Ave",1763,"41.96792230117664","-87.65002265197073","6663"
"Ashland Ave & Augusta Blvd",337,"41.89963096746507","-87.66803199408781","6651"
"Racine Ave & 18th St",314,"41.85831630747178","-87.65644700998078","6632"
"Sheridan Rd & Lawrence Ave",1846,"41.969513440924146","-87.65469697391835","6598"
"Damen Ave & Leland Ave",1786,"41.96701622187005","-87.67894148181233","6510"
"Winthrop Ave & Lawrence Ave",1803,"41.96882549126365","-87.65766422659658","6470"
"Wood St & Augusta Blvd",1219,"41.89917600311214","-87.67218632049256","6425"
"Hermitage Ave & Polk St",280,"41.87151566320191","-87.66988852739367","6290"
"Leavitt St & Armitage Ave",1838,"41.91781194601662","-87.68246650063033","6259"
"N Green St & W Lake St",558,"41.88558408124056","-87.64845123229385","6221"
"Orleans St & Elm St",1730,"41.90292346555424","-87.63772451034774","6195"
"Western Ave & Walton St",1636,"41.898424754300784","-87.68659001769868","6186"
"Loomis St & Jackson Blvd",323,"41.8779419320502","-87.66200581207522","6181"
"University Ave & 59th St",649,"41.787908364447404","-87.59895370965987","6146"
"Cannon Dr & Fullerton Ave",292,"41.92675012442968","-87.63443316916349","6093"
"Canal St & Taylor St",405,"41.87024098385163","-87.63947806595237","6078"
"Greenview Ave & Diversey Pkwy",358,"41.932601942609196","-87.66594112227982","6072"
"Campbell Ave & North Ave",341,"41.91053335418466","-87.68954533131316","6061"
"Ravenswood Ave & Irving Park Rd",1781,"41.95466884188028","-87.67391488097563","6058"
"Lincoln Ave & Sunnyside Ave",1785,"41.96300598022571","-87.684798622384","5912"
"Wood St & Taylor St (Temp)",353,"41.86927617184668","-87.67373783229276","5905"
"Clark St & 9th St (AMLI)",1700,"41.87082330576415","-87.63122630971456","5896"
"Benson Ave & Church St",1132,"42.04818506939829","-87.68348409953545","5799"
"Sheridan Rd & Noyes St (NU)",1143,"42.05823922960282","-87.67744159423425","5783"
"Damen Ave & Charleston St",354,"41.92009482027131","-87.67787824585277","5756"
"Ellis Ave & 53rd St",1605,"41.799339595678354","-87.60097957203747","5743"
"Seeley Ave & Roscoe St",303,"41.943395754301875","-87.67963691170884","5738"
"Dearborn St & Van Buren St",1167,"41.876275823342674","-87.62918723516768","5719"
"Wolcott (Ravenswood) Ave & Montrose Ave",1780,"41.96140989342097","-87.67618579922406","5716"
"Morgan St & 18th St",313,"41.8580828631474","-87.65108170482056","5655"
"Ashland Ave & Wrightwood Ave",359,"41.92883052175282","-87.66852107008742","5649"
"Blackstone Ave & Hyde Park Blvd",377,"41.80256404915127","-87.5903579588083","5643"
"Paulina St & Montrose Ave",1832,"41.96150983782589","-87.67139529310643","5568"
"Racine Ave & Washington Blvd",1214,"41.8830700954576","-87.65696833344927","5531"
"Spaulding Ave & Armitage Ave",429,"41.917109814319936","-87.71023682715388","5530"
"California Ave & Cortez St",471,"41.90037069476493","-87.69671682537405","5467"
"Damen Ave & Grand Ave",1796,"41.89240701036502","-87.6768821199273","5464"
"Wilton Ave & Diversey Pkwy*",1867,"41.932419977187784","-87.65270688951439","5444"
"Larrabee St & Menomonee St",1731,"41.914696347732274","-87.64333407016868","5443"
"Ashland Ave & Lake St",277,"41.88594539300852","-87.66716242161041","5430"
"LaSalle St & Adams St",1594,"41.87938795193528","-87.63199160125983","5411"
"Western Ave & Division St",332,"41.90289184801655","-87.68730673182957","5402"
"Clybourn Ave & Division St",1761,"41.90459105568323","-87.64057301362917","5376"
"Albany Ave & Bloomingdale Ave",434,"41.91401715970855","-87.70511583700389","5359"
